Gene Name	Accession-1	Left-End-Position	Right-End-Position	Product	Regulated-By	GO terms (biological process)	Transcription Units	gene ID	Pathways of gene	TU ID
thyA	b2827	2964361	2965155	thymidylate synthase		dTTP biosynthetic process // methylation // nucleotide biosynthetic process // regulation of translation // response to radiation // dTMP biosynthetic process	thyA // lgt-thyA	EG11002	superpathway of pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis (<i>E. coli</i>) // superpathway of pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis // pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis I // pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis II // folate transformations III (<i>E. coli</i>)	thyA // lgt-thyA
purT	b1849	1930881	1932059	phosphoribosylglycinamide formyltransferase 2	Regulation of purT by DNA-binding transcriptional dual regulator Lrp	purine ribonucleotide biosynthetic process // 'de novo' IMP biosynthetic process // purine nucleotide biosynthetic process	purT	EG11809	superpathway of histidine, purine, and pyrimidine biosynthesis // superpathway of purine nucleotides <i>de novo</i> biosynthesis II // superpathway of 5-aminoimidazole ribonucleotide biosynthesis // 5-aminoimidazole ribonucleotide biosynthesis II // ethanolamine utilization	purT
hyaE	b0976	1036354	1036752	putative HyaA chaperone			hyaABCDEF // hyaABCDEF	EG10472		hyaABCDEF // hyaABCDEF
yafS	b0213	234816	235538	putative S-adenosyl-L-methionine-dependent methyltransferase		ubiquinone biosynthetic process	yafS	G6100		yafS
folD	b0529	556875	557741	bifunctional methylenetetrahydrofolate dehydrogenase / methenyltetrahydrofolate cyclohydrolase		tetrahydrofolate interconversion // metabolic process // methionine biosynthetic process // amino acid biosynthetic process // one-carbon metabolic process // purine nucleotide biosynthetic process // histidine biosynthetic process	folD-ybcJ	EG10328	folate transformations III (<i>E. coli</i>)	folD-ybcJ
purN	b2500	2622234	2622872	phosphoribosylglycinamide formyltransferase 1		biosynthetic process // DNA damage response // 'de novo' IMP biosynthetic process // purine nucleotide biosynthetic process	purMN	EG10799	superpathway of 5-aminoimidazole ribonucleotide biosynthesis // 5-aminoimidazole ribonucleotide biosynthesis I	purMN
dmsC	b0896	944033	944896	dimethyl sulfoxide reductase subunit C		dimethyl sulfoxide metabolic process // anaerobic electron transport chain // anaerobic respiration	dmsC // dmsABC // dmsABC	EG10234	NADH to dimethyl sulfoxide electron transfer // formate to dimethyl sulfoxide electron transfer // hydrogen to dimethyl sulfoxide electron transfer	dmsC // dmsABC // dmsABC
grxA	b0849	890496	890753	oxidized glutaredoxin 1 // reduced glutaredoxin 1		cysteine biosynthetic process via S-sulfo-L-cysteine // cellular response to oxidative stress // sulfate assimilation via adenylyl sulfate reduction // electron transport chain // cell redox homeostasis // deoxyribonucleotide biosynthetic process	grxA	EG10417	arsenic detoxification (bacteria) // glutathione-glutaredoxin redox reactions // L-cysteine biosynthesis VII (from <i>S</i>-sulfo-L-cysteine)	grxA
yiaL	b3576	3743743	3744210	DUF386 domain-containing protein YiaL		response to radiation	yiaKLMNO-lyx-sgbHUE // yiaKLMNO-lyx-sgbHUE	EG12280		yiaKLMNO-lyx-sgbHUE // yiaKLMNO-lyx-sgbHUE
purK	b0522	551527	552594	5-(carboxyamino)imidazole ribonucleotide synthase		'de novo' IMP biosynthetic process // purine nucleotide biosynthetic process	purEK	EG10796	superpathway of histidine, purine, and pyrimidine biosynthesis // superpathway of purine nucleotides <i>de novo</i> biosynthesis II // inosine-5'-phosphate biosynthesis I	purEK
dcuS	b4125	4350031	4351662	DcuS-<i>N</i>-phospho-L-histidine // sensor histidine kinase DcuS		phosphorelay signal transduction system // phosphorylation // regulation of DNA-templated transcription // protein autophosphorylation // signal transduction	dcuSR	G7827	DcuSR Two-Component Signal Transduction System, C<sub>4</sub>-dicarboxylate-dependent	dcuSR
mdtU	b4777	1673608	1673709	protein MdtU			mdtUJI	G0-17023		mdtUJI
grxC	b3610	3784191	3784442	oxidized glutaredoxin 3 // reduced glutaredoxin 3		cellular response to oxidative stress // cell redox homeostasis // deoxyribonucleotide biosynthetic process	yibN-grxC-secB-gpsA // grxC	EG12294	arsenic detoxification (bacteria) // glutathione-glutaredoxin redox reactions // L-cysteine biosynthesis VII (from <i>S</i>-sulfo-L-cysteine)	yibN-grxC-secB-gpsA // grxC
purE	b0523	552591	553100	<i>N<sup>5</sup></i>-carboxyaminoimidazole ribonucleotide mutase		'de novo' IMP biosynthetic process // purine nucleotide biosynthetic process	purEK	EG10793	superpathway of histidine, purine, and pyrimidine biosynthesis // superpathway of purine nucleotides <i>de novo</i> biosynthesis II // inosine-5'-phosphate biosynthesis I	purEK
ybiY	b0824	862612	863511	putative pyruvate formate-lyase activating enzyme YbiY	Regulation of ybiY by DNA-binding transcriptional dual regulator YciT		ybiYW	G6427		ybiYW
yqfH	b4753	3032939	3033010	protein YqfH				G0-16747		
trxA	b3781	3965761	3966090	oxidized thioredoxin 1 // reduced thioredoxin 1		cell redox homeostasis	trxA // trxA // trxA	EG11031	periplasmic disulfide bond reduction // adenosine deoxyribonucleotides <i>de novo</i> biosynthesis II // assimilatory sulfate reduction I // guanosine deoxyribonucleotides <i>de novo</i> biosynthesis II // pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis I // superpathway of pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis (<i>E. coli</i>) // cytochrome <i>c</i> biogenesis (system I type) // L-cysteine degradation III // thioredoxin pathway	trxA // trxA // trxA
purL	b2557	2691656	2695543	phosphoribosylformylglycinamide synthetase		'de novo' IMP biosynthetic process // glutamine metabolic process // purine nucleotide biosynthetic process	purL	EG10797	superpathway of 5-aminoimidazole ribonucleotide biosynthesis // superpathway of histidine, purine, and pyrimidine biosynthesis // superpathway of purine nucleotides <i>de novo</i> biosynthesis II // 5-aminoimidazole ribonucleotide biosynthesis I // 5-aminoimidazole ribonucleotide biosynthesis II	purL
nikE	b3480	3617776	3618582	nickel ABC transporter ATP binding subunit NikE		nickel cation import across plasma membrane // DNA damage response // monoatomic ion transport // nickel cation transport	nikABCDER // nikABCDER	EG12079		nikABCDER // nikABCDER
speE	b0121	135598	136464	spermidine synthase		polyamine biosynthetic process // spermidine biosynthetic process	speE // yacC-speED	EG10963	spermidine biosynthesis I // superpathway of arginine and polyamine biosynthesis // superpathway of polyamine biosynthesis I // aminopropylcadaverine biosynthesis	speE // yacC-speED
grxB	b1064	1123407	1124054	oxidized glutaredoxin 2 // reduced glutaredoxin 2			grxB	EG12688	arsenic detoxification (bacteria) // glutathione-glutaredoxin redox reactions // L-cysteine biosynthesis VII (from <i>S</i>-sulfo-L-cysteine)	grxB
purF	b2312	2428721	2430238	amidophosphoribosyltransferase		purine nucleobase biosynthetic process // 'de novo' IMP biosynthetic process // glutamine metabolic process // purine nucleotide biosynthetic process	cvpA-purF-ubiX // cvpA-purF-ubiX	EG10794	superpathway of 5-aminoimidazole ribonucleotide biosynthesis // superpathway of histidine, purine, and pyrimidine biosynthesis // superpathway of purine nucleotides <i>de novo</i> biosynthesis II // 5-aminoimidazole ribonucleotide biosynthesis I // 5-aminoimidazole ribonucleotide biosynthesis II	cvpA-purF-ubiX // cvpA-purF-ubiX
pflD	b3951	4143995	4146292	putative formate acetyltransferase 2			pflDC	EG11910		pflDC
trxC	b2582	2718735	2719154	oxidized thioredoxin 2 // reduced thioredoxin 2			trxC	EG11887	adenosine deoxyribonucleotides <i>de novo</i> biosynthesis II // assimilatory sulfate reduction I // guanosine deoxyribonucleotides <i>de novo</i> biosynthesis II // pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis I // superpathway of pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis (<i>E. coli</i>) // cytochrome <i>c</i> biogenesis (system I type) // L-cysteine degradation III // thioredoxin pathway	trxC
yejL	b2187	2284129	2284356	DUF1414 domain-containing protein YejL			yejLM	EG12043		yejLM
purC	b2476	2596905	2597618	phosphoribosylaminoimidazole-succinocarboxamide synthase		cobalamin biosynthetic process // 'de novo' IMP biosynthetic process // purine nucleotide biosynthetic process	purC	EG10791	superpathway of histidine, purine, and pyrimidine biosynthesis // superpathway of purine nucleotides <i>de novo</i> biosynthesis II // inosine-5'-phosphate biosynthesis I	purC
nuoM	b2277	2391512	2393041	NADH:quinone oxidoreductase subunit M		respiratory electron transport chain // ATP synthesis coupled electron transport // electron transport coupled proton transport // aerobic respiration	nuoMN // nuoABCEFGHIJKLMN // nuoABCEFGHIJKLMN	EG11773	NADH to cytochrome <i>bo</i> oxidase electron transfer I // NADH to cytochrome <i>bd</i> oxidase electron transfer I // NADH to dimethyl sulfoxide electron transfer // nitrate reduction VIII (dissimilatory) // NADH to fumarate electron transfer // NADH to hydrogen peroxide electron transfer // NADH to trimethylamine <i>N</i>-oxide electron transfer	nuoMN // nuoABCEFGHIJKLMN // nuoABCEFGHIJKLMN
nrdH	b2673	2800723	2800968	glutaredoxin-like protein NrdH		electron transport chain // cell redox homeostasis	nrdHIEF	G7401	arsenic detoxification (bacteria) // guanosine deoxyribonucleotides <i>de novo</i> biosynthesis II // adenosine deoxyribonucleotides <i>de novo</i> biosynthesis II // superpathway of pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis (<i>E. coli</i>) // L-cysteine biosynthesis VII (from <i>S</i>-sulfo-L-cysteine) // glutathione-glutaredoxin redox reactions	nrdHIEF
ybeD	b0631	662379	662642	DUF493 domain-containing protein YbeD		cellular response to heat	ybeD-lipB // ybeD-lipB // ybeD	EG11592		ybeD-lipB // ybeD-lipB // ybeD
ybcN	b0547	572466	572921	DLP12 prophage; DNA base-flipping protein		mismatch repair	ybcN-ninE-ybcO-rusA-ylcG	G6303		ybcN-ninE-ybcO-rusA-ylcG
narW	b1466	1536614	1537309	NarW, putative private chaperone for NarZ nitrate reductase subunit		chaperone-mediated protein complex assembly // nitrate assimilation	narUZYWV // narWV // narZYWV	EG10645		narUZYWV // narWV // narZYWV
grxD	b1654	1733754	1734101	glutaredoxin 4		intracellular iron ion homeostasis // iron-sulfur cluster assembly // cell redox homeostasis	grxD	EG12181		grxD
cspI	b1552	1638455	1638667	Qin prophage; cold shock-like protein CspI		regulation of gene expression // response to cold	cspI // cspI	G6825		cspI // cspI
vsr	b1960	2030448	2030918	DNA mismatch endonuclease Vsr		DNA damage response // DNA repair // mismatch repair	dcm-vsr	EG11068		dcm-vsr
hyaB	b0973	1033254	1035047	hydrogenase 1 large subunit		respiratory electron transport chain // cellular response to starvation // hydrogen metabolic process // anaerobic electron transport chain // fermentation // anaerobic respiration	hyaABCDEF // hyaABCDEF	EG10469		hyaABCDEF // hyaABCDEF
speG	b1584	1656184	1656744	spermidine <i>N</i>-acetyltransferase		coenzyme A metabolic process // spermidine catabolic process // spermine catabolic process // polyamine catabolic process	ynfB-speG	G6842		ynfB-speG
hslR	b3400	3529348	3529749	heat shock protein Hsp15		response to heat // cellular response to heat	hslR-hslO // yrfG-hslR	G7743		hslR-hslO // yrfG-hslR
uvrB	b0779	813526	815547	UvrABC excision nuclease subunit B		nucleotide-excision repair, DNA damage recognition // nucleotide-excision repair, preincision complex assembly // nucleotide-excision repair // DNA damage response // DNA repair // SOS response // response to radiation	uvrB // uvrB // uvrB	EG11062		uvrB // uvrB // uvrB
pflA	b0902	950340	951080	pyruvate formate-lyase activating enzyme		protein maturation // peptidyl-glycine modification // DNA damage response // glucose metabolic process // carbohydrate metabolic process	pflA	EG10028		pflA
htpX	b1829	1911695	1912576	protease HtpX	Regulation of htpX by DNA-binding transcriptional dual regulator OmpR-phosphorylated // Regulation of htpX by DNA-binding transcriptional dual regulator Nac	proteolysis // response to temperature stimulus	htpX	EG10462		htpX
yjaH	b4001	4200566	4201261	DUF1481 domain-containing protein YjaH			yjaH	EG11917		yjaH
yebG	b1848	1930457	1930747	DNA damage-inducible protein YebG		response to X-ray // DNA repair // SOS response	yebG	EG11808		yebG
hyfR	b2491	2611900	2613912	DNA-binding transcriptional activator HyfR		regulation of DNA-templated transcription // DNA-templated transcription initiation // phosphorelay signal transduction system // regulation of DNA-templated transcription initiation	hyfABCDEFGHIJR-focB	G7308		hyfABCDEFGHIJR-focB
speB	b2937	3082877	3083797	agmatinase		organonitrogen compound metabolic process // putrescine biosynthetic process from arginine, using agmatinase // polyamine biosynthetic process // putrescine biosynthetic process from arginine // spermidine biosynthetic process // putrescine biosynthetic process	speB // speAB	EG10960	superpathway of L-arginine and L-ornithine degradation // superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation // superpathway of arginine and polyamine biosynthesis // superpathway of polyamine biosynthesis I // L-arginine degradation III (arginine decarboxylase/agmatinase pathway) // putrescine biosynthesis I	speB // speAB
clpB	b2592	2731600	2734173	ClpB80 // protein disaggregase ClpB		cellular response to heat // protein refolding // response to heat	clpB // clpB	EG10157		clpB // clpB
nfo	b2159	2250840	2251697	endonuclease IV		DNA damage response // base-excision repair // DNA repair	nfo	EG10651		nfo
menF	b2265	2379348	2380643	isochorismate synthase MenF		organic substance biosynthetic process // cellular biosynthetic process // biosynthetic process // menaquinone biosynthetic process	menFD-yfbB-menBCE	EG12362	superpathway of menaquinol-8 biosynthesis I // superpathway of chorismate metabolism // 2-carboxy-1,4-naphthoquinol biosynthesis	menFD-yfbB-menBCE
speC	b2965	3107020	3109155	constitutive ornithine decarboxylase		amino acid metabolic process // putrescine biosynthetic process from ornithine // spermidine biosynthetic process	speC	EG10961	superpathway of arginine and polyamine biosynthesis // superpathway of polyamine biosynthesis I // putrescine biosynthesis III	speC
cspG	b0990	1051461	1051673	cold shock protein CspG		regulation of gene expression // response to cold	cspG	G6511		cspG
yegP	b2080	2165189	2165521	DUF1508 domain-containing protein YegP		double-strand break repair	yegP	G7117		yegP
napA	b2206	2300267	2302753	periplasmic nitrate reductase subunit NapA		electron transport chain // Mo-molybdopterin cofactor biosynthetic process // anaerobic respiration // nitrate assimilation	napFDAGHBC // napFDAGHBC-ccmABCDEFGH // napFDAGHBC-ccmABCDEFGH	EG12067	<i>sn</i>-glycerol 3-phosphate anaerobic respiration	napFDAGHBC // napFDAGHBC-ccmABCDEFGH // napFDAGHBC-ccmABCDEFGH
bdcA	b4249	4473340	4474053	c-di-GMP-binding biofilm dispersal mediator protein	Regulation of bdcA by DNA-binding transcriptional repressor GlaR	single-species biofilm formation	bdcA	G7880		bdcA
gss	b2988	3136663	3138522	fused glutathionylspermidine amidase / glutathionylspermidine synthetase	Regulation of gss by small regulatory RNA Spot 42	spermidine metabolic process // glutathione metabolic process // metabolic process	gss	EG12882	glutathionylspermidine biosynthesis	gss
